"GEO_ID","NAME","B01001B_001E","B01001B_001M","B01001B_002E","B01001B_002M","B01001B_003E","B01001B_003M","B01001B_004E","B01001B_004M","B01001B_005E","B01001B_005M","B01001B_006E","B01001B_006M","B01001B_007E","B01001B_007M","B01001B_008E","B01001B_008M","B01001B_009E","B01001B_009M","B01001B_010E","B01001B_010M","B01001B_011E","B01001B_011M","B01001B_012E","B01001B_012M","B01001B_013E","B01001B_013M","B01001B_014E","B01001B_014M","B01001B_015E","B01001B_015M","B01001B_016E","B01001B_016M","B01001B_017E","B01001B_017M","B01001B_018E","B01001B_018M","B01001B_019E","B01001B_019M","B01001B_020E","B01001B_020M","B01001B_021E","B01001B_021M","B01001B_022E","B01001B_022M","B01001B_023E","B01001B_023M","B01001B_024E","B01001B_024M","B01001B_025E","B01001B_025M","B01001B_026E","B01001B_026M","B01001B_027E","B01001B_027M","B01001B_028E","B01001B_028M","B01001B_029E","B01001B_029M","B01001B_030E","B01001B_030M","B01001B_031E","B01001B_031M"
"310M400US21700","Eureka-Arcata-Fortuna, CA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31460","Madera, CA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US34740","Muskegon, MI Metro Area","23350","1278","12385","707","850","305","1157","463","917","420","474","330","55","86","894","485","1733","534","1013","579","1511","668","1423","390","1315","172","646","228","397","228","0","172","10965","819","341","311","1240","382","1014","370","290","253","280","299","544","490","886","265","896","172","1391","375","1342","400","1245","285","803","373","443","354","250","261"
"310M400US43900","Spartanburg, SC Metro Area","72242","1644","32843","1286","2632","266","1807","968","2969","928","1621","237","1017","564","1871","672","3075","279","2379","315","4027","407","4331","364","3225","516","2864","294","941","193","84","135","39399","838","2748","212","3075","818","1824","766","1473","144","766","501","2882","516","3603","279","2730","248","4758","296","5358","342","4919","139","3481","222","1256","316","526","279"
"310M400US45940","Trenton, NJ Metro Area","75902","1752","35734","1124","1992","577","2995","903","2220","840","1808","290","635","488","3048","1575","3296","1533","2431","49","4593","48","4762","210","4494","361","2182","210","1013","224","265","224","40168","1038","2194","403","1766","742","3269","759","1287","365","238","213","4635","579","2636","423","2722","155","5097","249","5583","180","5156","198","3123","253","1568","477","894","477"
"310M400US43620","Sioux Falls, SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US37140","Paducah, KY-IL Micro Area","9464","1154","4209","884","409","319","324","371","230","236","338","244","67","109","470","461","232","276","231","243","582","341","358","297","534","287","55","72","113","167","266","327","5255","758","770","432","392","455","80","128","193","201","181","228","462","433","12","24","413","326","524","329","823","491","547","239","487","227","144","136","227","167"
"310M400US14660","Brainerd, MN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22300","Findlay, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24500","Great Falls, MT Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US25900","Hilo, HI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US30340","Lewiston-Auburn, ME Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","1309196","11068","622799","7587","46132","2324","45852","3430","48172","3788","28674","1533","17071","1046","45354","1513","53120","1780","47244","1821","80941","2364","76447","1354","69953","1464","41251","906","16654","1522","5934","1368","686397","6014","43217","2142","42037","3602","48129","3842","28490","789","17277","722","47837","1731","54566","1323","50351","1530","91365","1938","90311","1942","83374","1690","52808","1469","26264","1872","10371","1820"
"310M400US36140","Ocean City, NJ Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US36220","Odessa, TX Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42220","Santa Rosa, CA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US48300","Wenatchee, WA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US40220","Roanoke, VA Metro Area","41285","2110","20357","1331","694","428","2296","556","631","514","1209","610","552","482","1654","787","1725","712","1602","582","3077","1028","2424","863","2468","478","1442","456","243","296","340","341","20928","2111","736","601","912","356","1523","575","785","672","1174","642","1327","531","1120","653","1639","782","2584","1036","2778","910","3170","722","2276","548","668","456","236","245"
"310M400US10300","Adrian, MI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24420","Grants Pass, OR Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31820","Manitowoc, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US34100","Morristown, TN Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US35260","New Castle, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US38460","Plattsburgh, NY Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42940","Sevierville, TN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46180","Tupelo, MS Micro Area","30552","2279","13190","1518","986","376","1383","570","565","336","382","304","974","567","1424","598","983","724","998","299","1311","406","1803","361","1827","427","547","413","7","14","0","218","17362","1340","1261","359","997","500","2029","536","388","285","535","409","1029","692","1472","522","1339","615","2597","522","1933","519","1806","270","678","368","1245","545","53","79"
"310M400US46520","Urban Honolulu, HI Metro Area","25504","1376","15821","976","1078","177","497","289","652","389","355","230","494","429","2472","658","2722","163","965","422","3331","524","1776","260","882","326","499","203","98","146","0","189","9683","792","501","327","648","301","619","308","189","183","244","218","1129","333","1477","166","1203","298","1506","403","997","395","610","125","374","132","186","132","0","189"
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","2038334","11563","946122","7351","68302","2421","73174","4833","77064","5885","48721","1752","34694","2620","71762","2450","78015","2648","61573","2537","130208","3209","129325","2590","98566","1970","53394","1945","16529","1450","4795","1050","1092212","7035","64304","2870","67620","4497","74182","4695","44876","1971","30521","1879","76585","3047","87072","2261","78749","2067","170265","3075","155289","2300","128022","1756","75595","1494","28169","2166","10963","1818"
"310M400US45220","Tallahassee, FL Metro Area","127579","3183","59015","2226","3812","583","3910","998","4154","782","2198","418","2335","361","8075","690","5051","702","4166","922","7939","1629","5911","444","6234","357","3373","727","1253","587","604","547","68564","1891","4437","820","3649","1075","4478","1090","2073","513","4411","616","9606","722","5577","494","3619","425","8810","667","6810","555","7521","553","4551","221","2092","401","930","410"
"310M400US43580","Sioux City, IA-NE-SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19820","Detroit-Warren-Dearborn, MI Metro Area","962940","4931","442383","3071","34214","1282","34149","2742","33039","2729","20473","720","11939","596","33349","1341","41079","842","27100","599","49061","855","55409","701","51596","555","32779","592","14104","858","4092","848","520557","3050","33415","1075","33831","2485","31719","2582","20463","618","12425","586","34773","592","45231","604","32176","725","62872","1009","69268","860","64688","1053","47027","427","21774","1396","10895","1430"
"310M400US25860","Hickory-Lenoir-Morganton, NC Metro Area","24242","1821","11805","1456","597","425","700","532","253","262","98","183","249","276","889","400","890","580","1121","655","1589","751","2059","966","2369","642","880","465","46","100","65","122","12437","1461","997","567","263","299","591","480","434","343","766","373","84","109","1415","785","530","510","1859","803","1430","543","1995","332","954","415","793","359","326","373"
"310M400US26140","Homosassa Springs, FL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US28180","Kapaa, HI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43340","Shreveport-Bossier City, LA Metro Area","173745","1697","79990","1226","6291","426","5892","1284","7217","1232","3406","450","2731","553","6111","817","6136","614","6027","561","9751","939","8418","942","9094","302","6434","485","1772","371","710","361","93755","1416","5718","981","4778","1158","8779","1135","4543","430","1511","811","8017","1050","6046","637","7132","595","12301","830","10222","698","11179","469","8285","613","3490","828","1754","717"
"310M400US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US13180","Beaver Dam, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22140","Farmington, NM Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22840","Fort Payne, AL Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31540","Madison, WI Metro Area","29537","2304","16370","1249","1726","327","1366","470","1315","532","585","247","284","291","2325","547","1585","342","1204","605","2503","656","1760","211","1006","359","336","220","245","251","130","213","13167","1456","494","615","970","530","1442","563","465","294","585","560","1321","680","1345","311","1313","252","1804","360","1499","126","1194","20","556","202","143","156","36","51"
"310M400US32020","Marion, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","314994","5433","155915","3626","15178","1083","17094","1615","14103","1451","8564","1008","4612","839","11439","1230","13929","1287","11986","1421","23283","1065","16409","970","11942","797","4829","675","2053","579","494","308","159079","3367","14699","1073","17029","2097","13591","1914","7245","754","3774","985","11636","1286","15557","1474","11840","860","24455","1606","15784","941","13371","755","6671","689","2504","606","923","462"
"310M400US33980","Morehead City, NC Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US40420","Rockford, IL Metro Area","37746","1956","18545","1231","1613","367","1399","406","1638","497","1347","339","701","452","1761","427","1584","215","1166","177","2165","195","1887","185","1751","190","1008","280","436","293","89","105","19201","1181","1317","341","1449","591","1108","466","476","398","1124","547","1367","651","1882","223","1484","190","2495","129","2422","163","1914","151","1307","190","519","194","337","194"
"310M400US48900","Wilmington, NC Metro Area","41532","2136","19912","1678","813","699","2392","686","2109","792","950","638","588","625","1459","843","864","462","1320","693","2141","1048","2096","816","2560","92","1681","509","538","432","401","348","21620","1374","920","623","2041","1103","1339","963","220","183","138","244","2144","1027","1576","880","1185","594","2531","935","2427","658","3248","210","2010","198","1372","291","469","276"
"310M400US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","55632","2218","26366","1641","2080","668","2461","727","1553","724","1036","520","679","347","1459","742","1952","370","2136","774","4368","706","2015","163","3176","186","2504","237","743","252","204","170","29266","1456","1655","493","2221","699","1370","491","1502","627","775","564","1988","674","2462","556","1864","488","2939","559","3672","517","3761","338","2786","595","1409","538","862","358"
"310M400US46660","Valdosta, GA Metro Area","49843","1812","22974","1224","1552","314","1578","487","1980","614","547","468","597","505","3659","845","2292","766","1206","673","2598","854","2268","716","2493","271","1518","448","484","421","202","185","26869","1461","1662","377","2227","593","1291","476","1402","508","2660","698","1980","734","2237","264","1577","140","3165","472","2924","387","2892","403","1819","279","880","345","153","184"
"310M400US21340","El Paso, TX Metro Area","25630","2058","16173","1205","921","603","657","449","703","581","567","336","142","229","1816","787","2713","833","1489","31","2602","509","2072","546","1384","127","606","292","365","262","136","154","9457","1395","562","411","1030","660","632","536","369","259","403","365","944","496","351","297","1043","537","838","473","1248","588","896","281","473","258","600","271","68","119"
"310M400US13020","Bay City, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19380","Dayton, OH Metro Area","122754","3862","57967","2173","3788","1067","3515","829","5475","1279","2848","386","1844","545","5559","465","5068","462","3438","253","6067","787","6611","385","6833","574","4250","300","2120","429","551","381","64787","2148","3892","820","5149","683","3040","523","3033","391","2784","701","4016","877","5814","518","3873","657","7278","454","7476","387","8019","611","5571","367","3677","637","1165","534"
"310M400US36740","Orlando-Kissimmee-Sanford, FL Metro Area","429750","8168","205480","4056","14669","1470","15080","2613","16647","2821","10890","1371","6220","1083","17432","1415","17583","1697","15402","1603","28177","1584","23678","1458","21251","1013","12254","1256","5302","833","895","446","224270","5780","14621","1534","13722","2238","16484","2250","10846","1453","7570","1584","16286","1633","19133","1424","17016","1483","33036","2133","28106","1852","22562","1134","15478","1255","7331","1151","2079","798"
"310M400US44220","Springfield, OH Metro Area","11167","1077","5447","876","364","265","460","358","323","245","242","197","143","135","326","194","378","273","0","195","904","433","807","468","659","152","507","265","255","241","79","118","5720","588","372","265","273","226","334","192","221","174","251","254","305","209","236","179","112","143","1125","408","624","405","926","68","587","169","150","155","204","205"
"310M400US44980","Sunbury, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US16580","Champaign-Urbana, IL Metro Area","28044","1344","13530","1019","975","346","941","469","1176","474","1206","263","1260","660","1545","829","955","658","1241","507","1144","488","1135","193","1295","301","657","342","0","190","0","190","14514","635","899","375","880","410","1230","449","282","250","1050","668","2771","821","806","553","921","570","1683","767","1429","640","1739","471","450","423","315","295","59","98"
"310M400US24140","Goldsboro, NC Metro Area","37652","1669","16758","1190","981","549","893","436","1358","514","580","444","412","442","1225","950","1557","826","1527","733","1659","709","1772","557","2459","210","1510","595","770","607","55","101","20894","1183","1093","589","767","419","2295","776","478","304","508","341","1388","351","1363","231","712","566","2648","619","2736","210","3059","133","2249","210","1003","503","595","503"
"310M400US24340","Grand Rapids-Wyoming, MI Metro Area","70295","3112","34892","1675","3120","451","3071","945","2531","1041","1610","494","1434","210","2898","559","2871","637","2255","354","4441","604","4728","566","3606","320","1757","383","553","289","17","38","35403","2158","2385","746","3577","1143","2686","1003","1648","411","1219","339","3191","543","2613","515","2814","619","4218","446","3881","282","3798","260","2011","173","1224","205","138","168"
"310M400US26380","Houma-Thibodaux, LA Metro Area","33831","1432","15710","1404","773","449","1297","637","1821","731","751","590","499","350","1292","645","1093","649","1616","709","1321","628","2031","988","1939","603","818","302","209","209","250","339","18121","1337","1354","557","1751","830","1179","616","587","524","593","507","1503","720","1368","641","1273","660","2038","797","2087","381","1572","258","1509","576","762","501","545","413"
"310M400US39580","Raleigh, NC Metro Area","270574","5556","126504","3177","9167","892","9594","2005","8999","1752","5435","821","4257","519","10231","1034","10163","1097","8653","810","18076","1187","17177","1188","13805","350","7962","339","2574","446","411","441","144070","3284","6090","1291","7707","1591","12156","1910","6584","1111","3850","795","10165","632","10796","1142","9683","885","21742","974","21888","998","16595","573","11321","335","4123","521","1370","534"
"310M400US41540","Salisbury, MD-DE Metro Area","72437","2052","35705","1572","2234","727","1741","720","3216","786","1905","702","736","525","3782","775","3525","828","1728","645","4827","783","4623","514","3622","634","2498","422","987","369","281","206","36732","1682","2177","722","2410","662","2519","679","1394","638","1210","613","2973","923","2705","946","1953","697","4172","744","4813","884","4775","395","3392","368","1856","300","383","248"
"310M400US42100","Santa Cruz-Watsonville, CA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US49180","Winston-Salem, NC Metro Area","122738","3525","56011","2122","3528","726","4817","1481","4197","1313","2547","384","1875","184","4480","393","4657","864","3223","596","6337","760","7658","784","7114","652","3770","246","1480","439","328","249","66727","2086","3684","606","3286","998","4703","1196","3084","654","2155","864","5259","1103","4960","788","4192","478","8334","771","9046","602","9000","618","5968","703","2497","494","559","285"
