"GEO_ID","NAME","B01001G_001E","B01001G_001M","B01001G_002E","B01001G_002M","B01001G_003E","B01001G_003M","B01001G_004E","B01001G_004M","B01001G_005E","B01001G_005M","B01001G_006E","B01001G_006M","B01001G_007E","B01001G_007M","B01001G_008E","B01001G_008M","B01001G_009E","B01001G_009M","B01001G_010E","B01001G_010M","B01001G_011E","B01001G_011M","B01001G_012E","B01001G_012M","B01001G_013E","B01001G_013M","B01001G_014E","B01001G_014M","B01001G_015E","B01001G_015M","B01001G_016E","B01001G_016M","B01001G_017E","B01001G_017M","B01001G_018E","B01001G_018M","B01001G_019E","B01001G_019M","B01001G_020E","B01001G_020M","B01001G_021E","B01001G_021M","B01001G_022E","B01001G_022M","B01001G_023E","B01001G_023M","B01001G_024E","B01001G_024M","B01001G_025E","B01001G_025M","B01001G_026E","B01001G_026M","B01001G_027E","B01001G_027M","B01001G_028E","B01001G_028M","B01001G_029E","B01001G_029M","B01001G_030E","B01001G_030M","B01001G_031E","B01001G_031M"
"310M400US21700","Eureka-Arcata-Fortuna, CA Micro Area","10114","2212","5357","1325","736","399","957","672","282","297","241","291","26","46","217","245","615","392","697","382","489","296","139","140","640","371","266","213","52","85","0","211","4757","1308","872","482","257","252","698","464","100","134","407","379","197","213","439","300","198","217","465","321","305","272","359","248","284","180","0","211","176","190"
"310M400US31460","Madera, CA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US34740","Muskegon, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43900","Spartanburg, SC Metro Area","9152","2109","5452","1588","593","483","947","651","584","411","164","208","530","472","487","462","442","328","332","270","600","472","142","164","486","480","13","26","105","169","27","46","3700","1093","226","209","385","328","850","490","84","117","441","401","477","339","0","214","272","261","147","157","253","218","220","182","159","168","186","199","0","214"
"310M400US45940","Trenton, NJ Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43620","Sioux Falls, SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US37140","Paducah, KY-IL Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US14660","Brainerd, MN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22300","Findlay, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24500","Great Falls, MT Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US25900","Hilo, HI Micro Area","58512","5090","30215","3115","4183","896","4268","1138","3067","1002","1233","404","816","431","1878","662","2906","627","1520","540","2555","667","3329","604","2345","690","1100","457","487","291","528","495","28297","2879","3247","849","3375","855","3309","693","1442","386","611","319","1348","579","1526","779","2564","619","3334","855","2740","746","1971","600","2259","763","495","295","76","102"
"310M400US30340","Lewiston-Auburn, ME Metro Area","5108","1144","2683","781","293","229","281","168","462","220","109","140","47","81","110","140","0","170","355","355","326","234","376","206","225","158","74","117","25","42","0","170","2425","636","434","276","284","174","41","57","38","50","160","147","258","192","264","169","10","22","140","138","369","212","184","165","139","150","104","133","0","170"
"310M400US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","153528","10688","74177","6082","8623","2001","8198","2440","7957","1561","4633","1535","2156","690","6378","1489","5326","1846","5652","1412","9051","1834","6616","1548","3896","1140","3164","897","1772","648","755","505","79351","7147","10301","2237","6874","1746","7699","2293","2524","856","2043","710","6851","2123","5273","1398","5744","1659","9355","1720","8405","1674","5791","1290","5419","1219","2396","969","676","400"
"310M400US36140","Ocean City, NJ Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US36220","Odessa, TX Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42220","Santa Rosa, CA Metro Area","25582","3781","13066","2668","1038","581","2298","719","1367","700","672","405","1027","751","733","607","461","416","450","381","2477","1266","721","505","1134","420","688","347","0","211","0","211","12516","2149","1379","580","1606","551","1431","581","679","464","398","338","417","392","815","768","588","352","1381","679","1038","527","1624","593","786","445","374","339","0","211"
"310M400US48300","Wenatchee, WA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US40220","Roanoke, VA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US10300","Adrian, MI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24420","Grants Pass, OR Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31820","Manitowoc, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US34100","Morristown, TN Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US35260","New Castle, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US38460","Plattsburgh, NY Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42940","Sevierville, TN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46180","Tupelo, MS Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46520","Urban Honolulu, HI Metro Area","233429","10885","118222","5980","11867","1820","12355","1527","12097","1209","6266","1009","3583","778","8955","1377","9173","1256","9711","1277","15464","1603","10729","1264","9377","1135","5957","828","1970","572","718","408","115207","6091","12452","1324","11209","1706","12808","1756","6082","962","3385","735","8441","1360","8026","1181","8669","1413","13466","1610","11927","1504","9026","1007","6033","1013","2671","660","1012","389"
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","162237","10267","78037","6429","8431","1835","11003","1959","10589","2284","5712","1293","3216","1327","5555","1513","7339","1651","6348","1823","7655","1648","5442","1430","3735","1155","1892","898","1011","731","109","148","84200","6355","13886","2753","11857","2395","9394","1875","4705","1640","2704","1329","6509","1473","6225","1456","5027","1516","9343","1777","6665","1345","3882","1043","3335","995","497","376","171","166"
"310M400US45220","Tallahassee, FL Metro Area","9099","2264","3974","1130","471","352","256","210","230","247","314","316","720","553","322","391","178","203","58","70","425","308","169","194","375","272","426","322","30","51","0","229","5125","1520","575","384","811","566","228","184","326","362","469","468","594","428","284","238","442","426","589","391","194","193","569","336","44","72","0","229","0","229"
"310M400US43580","Sioux City, IA-NE-SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19820","Detroit-Warren-Dearborn, MI Metro Area","104649","6727","54068","4468","7692","1617","6640","1234","7954","1461","3256","775","1569","512","4008","1353","3073","905","3003","839","5582","1183","4826","1088","3537","742","1930","635","678","322","320","276","50581","3947","6260","1290","5322","1061","5957","1040","3294","751","1773","617","3194","758","2905","715","3800","903","5866","1132","4523","1045","4302","1087","2288","660","537","261","560","246"
"310M400US25860","Hickory-Lenoir-Morganton, NC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US26140","Homosassa Springs, FL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US28180","Kapaa, HI Micro Area","18204","2933","10195","1838","1194","258","1280","512","986","420","866","492","448","289","386","254","602","399","847","417","971","569","1092","475","624","359","707","291","192","217","0","189","8009","1471","751","359","568","244","1073","577","217","234","504","371","863","343","360","206","808","359","904","429","836","425","379","216","458","287","288","205","0","189"
"310M400US43340","Shreveport-Bossier City, LA Metro Area","8451","2156","4088","1146","788","752","666","390","624","378","183","183","12","27","619","610","327","286","286","282","125","159","143","178","116","171","128","137","71","116","0","217","4363","1481","1442","972","201","231","241","201","259","248","85","84","334","318","340","305","139","174","438","324","152","153","411","314","262","198","0","217","59","99"
"310M400US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US13180","Beaver Dam, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22140","Farmington, NM Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22840","Fort Payne, AL Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31540","Madison, WI Metro Area","20991","3362","9330","1582","1469","427","1281","579","1738","654","904","292","223","244","558","437","671","479","746","563","866","517","376","255","245","177","166","160","33","46","54","88","11661","2314","2527","1056","1686","709","1261","563","900","396","270","262","1184","606","990","442","968","520","1030","450","202","198","358","342","220","211","65","98","0","151"
"310M400US32020","Marion, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","128458","7840","64636","5112","9498","1311","8775","1396","10150","1871","4563","1021","3543","994","5254","1167","4988","1214","4215","1263","5949","1214","3845","938","2090","649","1389","542","266","222","111","131","63822","4248","9891","1282","10479","1588","8115","1449","5201","1103","1522","615","5758","1202","4019","915","4858","1005","5988","1314","3611","991","2431","1014","1294","451","469","253","186","201"
"310M400US33980","Morehead City, NC Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US40420","Rockford, IL Metro Area","10494","2072","5532","1484","765","373","749","438","1245","652","214","198","114","148","334","325","203","204","470","316","610","460","292","223","318","268","169","232","49","84","0","190","4962","1182","963","398","607","350","1103","862","748","457","70","120","212","225","484","263","35","64","230","248","0","190","442","198","68","118","0","190","0","190"
"310M400US48900","Wilmington, NC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","15984","2833","8779","1771","1722","852","1540","581","1227","538","660","549","793","491","1245","668","244","244","672","376","331","214","168","177","110","114","13","26","37","63","17","24","7205","1639","1396","609","1155","588","627","426","590","389","596","321","799","531","356","242","45","60","489","432","300","312","624","393","144","132","73","90","11","20"
"310M400US46660","Valdosta, GA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US21340","El Paso, TX Metro Area","25874","4545","12663","2719","2075","862","1211","675","1984","966","727","441","296","465","1905","825","1059","765","388","355","1284","874","600","316","603","385","443","283","88","109","0","228","13211","2674","1867","919","1158","672","1488","857","857","542","989","786","880","649","760","632","759","510","1649","745","1591","788","648","353","366","255","199","217","0","228"
"310M400US13020","Bay City, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19380","Dayton, OH Metro Area","28031","3771","13666","2188","2536","943","1745","801","1991","605","1200","579","617","590","835","550","334","288","502","332","1770","664","739","361","1145","625","186","189","29","48","37","66","14365","2372","2182","810","1657","619","1478","489","791","448","369","343","2018","699","709","642","1399","614","961","547","714","402","983","535","923","435","181","148","0","195"
"310M400US36740","Orlando-Kissimmee-Sanford, FL Metro Area","87146","10075","44346","5983","6323","1504","4974","1781","6054","1580","2765","1024","833","501","2292","1113","5285","1945","2467","1211","4454","1387","4106","1443","1472","630","2200","836","717","401","404","375","42800","5600","5638","1601","4909","1516","5217","1518","1882","925","1377","752","3429","1403","3228","1366","2907","1105","4383","1173","3320","1011","3401","1069","2229","929","562","423","318","285"
"310M400US44220","Springfield, OH Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US44980","Sunbury, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US16580","Champaign-Urbana, IL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24140","Goldsboro, NC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24340","Grand Rapids-Wyoming, MI Metro Area","38391","3708","18989","2091","2759","800","3955","1082","2147","801","1098","529","521","336","2321","776","1569","675","1299","593","1476","561","671","448","827","451","306","214","10","17","30","53","19402","2354","3208","893","3457","1016","2553","844","1858","704","843","386","1622","841","1363","637","1111","495","1026","527","865","432","751","417","415","253","79","108","251","292"
"310M400US26380","Houma-Thibodaux, LA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US39580","Raleigh, NC Metro Area","49988","6578","23581","3890","2933","1111","3588","1487","3986","1396","1413","670","469","342","2993","1094","1399","786","1309","795","2113","858","2149","1126","614","355","531","356","84","132","0","210","26407","3752","5380","1382","2984","1024","2162","835","1699","846","1511","645","2026","874","2169","1180","1414","867","2407","945","2899","915","1128","626","309","232","132","198","187","180"
"310M400US41540","Salisbury, MD-DE Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42100","Santa Cruz-Watsonville, CA Metro Area","13055","2007","5416","1199","445","408","490","280","276","260","244","237","148","129","995","520","630","564","275","222","849","524","565","430","123","137","212","183","164","220","0","211","7639","1529","384","344","265","241","274","267","457","434","1074","701","696","345","312","352","741","605","775","455","366","283","1000","552","554","403","599","370","142","176"
"310M400US49180","Winston-Salem, NC Metro Area","15620","3055","8282","2008","1172","712","1299","663","1246","629","403","345","192","201","452","302","842","572","430","357","629","390","516","329","628","457","137","118","270","283","66","126","7338","1478","920","479","1467","832","654","501","402","271","522","296","253","227","809","460","241","218","475","319","570","382","473","235","263","219","253","272","36","61"
"310M400US30700","Lincoln, NE Metro Area","14707","2330","6951","1495","1092","528","1088","459","840","423","468","247","253","225","584","439","523","300","716","437","922","647","295","320","170","147","0","161","0","161","0","161","7756","1402","650","387","1487","598","1768","507","756","326","540","396","525","283","382","239","246","214","457","317","528","319","88","106","329","259","0","161","0","161"
"310M400US29700","Laredo, TX Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33220","Midland, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
