"GEO_ID","NAME","B01001F_001E","B01001F_001M","B01001F_002E","B01001F_002M","B01001F_003E","B01001F_003M","B01001F_004E","B01001F_004M","B01001F_005E","B01001F_005M","B01001F_006E","B01001F_006M","B01001F_007E","B01001F_007M","B01001F_008E","B01001F_008M","B01001F_009E","B01001F_009M","B01001F_010E","B01001F_010M","B01001F_011E","B01001F_011M","B01001F_012E","B01001F_012M","B01001F_013E","B01001F_013M","B01001F_014E","B01001F_014M","B01001F_015E","B01001F_015M","B01001F_016E","B01001F_016M","B01001F_017E","B01001F_017M","B01001F_018E","B01001F_018M","B01001F_019E","B01001F_019M","B01001F_020E","B01001F_020M","B01001F_021E","B01001F_021M","B01001F_022E","B01001F_022M","B01001F_023E","B01001F_023M","B01001F_024E","B01001F_024M","B01001F_025E","B01001F_025M","B01001F_026E","B01001F_026M","B01001F_027E","B01001F_027M","B01001F_028E","B01001F_028M","B01001F_029E","B01001F_029M","B01001F_030E","B01001F_030M","B01001F_031E","B01001F_031M"
"310M400US21700","Eureka-Arcata-Fortuna, CA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31460","Madera, CA Metro Area","49419","5977","25856","3211","3349","644","1712","894","2807","1050","1592","517","921","345","2047","767","2449","711","2035","595","3325","904","2737","754","1521","670","1168","373","193","229","0","211","23563","3344","2576","661","2556","1064","1417","813","833","457","822","517","2113","680","2284","515","2024","639","3171","876","2191","702","1822","484","1081","496","549","322","124","157"
"310M400US34740","Muskegon, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43900","Spartanburg, SC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US45940","Trenton, NJ Metro Area","16414","5017","8573","2669","324","444","470","393","949","597","339","379","0","210","269","349","305","335","1474","592","2064","1004","722","524","1063","544","351","475","243","337","0","210","7841","2586","735","621","671","491","944","661","532","367","591","574","392","505","533","212","848","455","716","504","526","343","617","555","678","415","58","101","0","210"
"310M400US43620","Sioux Falls, SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US37140","Paducah, KY-IL Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US14660","Brainerd, MN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22300","Findlay, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24500","Great Falls, MT Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US25900","Hilo, HI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US30340","Lewiston-Auburn, ME Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33100","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area","256909","19121","127403","10791","7820","2083","7201","1582","9668","2284","4291","1141","4186","1414","8758","2300","8316","1729","9891","2156","26433","3675","19535","2978","11670","1829","6793","1709","2377","906","464","407","129506","10361","8675","2389","7050","1765","10979","2335","3822","1355","3521","1252","8253","1891","10357","1958","9330","2107","21708","3023","16819","2465","15348","2667","8516","1835","4009","1196","1119","618"
"310M400US36140","Ocean City, NJ Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US36220","Odessa, TX Metro Area","21130","5555","10951","2988","410","389","1205","1107","1502","853","1189","811","262","277","1033","695","661","673","825","719","1330","757","1318","924","940","490","276","241","0","228","0","228","10179","3168","1318","855","797","650","1188","1094","853","861","86","139","486","414","1068","692","543","420","1774","715","935","636","581","407","332","248","218","336","0","228"
"310M400US42220","Santa Rosa, CA Metro Area","69166","7239","34722","4068","2337","880","2962","999","4820","1121","2007","559","1328","487","1978","929","2341","821","3845","642","4673","1106","4614","1162","2580","790","896","501","199","228","142","236","34444","4058","3264","758","3045","905","3946","1180","1762","640","878","384","3257","926","1634","743","3037","673","5254","1075","4589","861","1458","534","1232","559","584","426","504","460"
"310M400US48300","Wenatchee, WA Metro Area","25218","3115","13785","1843","1394","643","1628","548","1358","408","670","407","706","469","1321","591","1062","678","850","625","1893","813","1429","727","1151","374","184","192","81","127","58","71","11433","1751","543","516","1328","554","1149","431","801","625","110","172","582","407","748","422","1980","708","1662","617","1272","515","1015","307","111","96","57","99","75","104"
"310M400US40220","Roanoke, VA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US10300","Adrian, MI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24420","Grants Pass, OR Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31820","Manitowoc, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US34100","Morristown, TN Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US35260","New Castle, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US38460","Plattsburgh, NY Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42940","Sevierville, TN Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46180","Tupelo, MS Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46520","Urban Honolulu, HI Metro Area","8592","1955","4871","1206","452","381","220","218","27","47","42","50","91","138","1134","557","674","456","467","350","578","385","231","146","477","350","352","201","126","136","0","189","3721","1126","72","92","35","60","44","72","159","175","144","193","364","325","729","518","441","284","771","460","350","333","152","209","334","249","71","81","55","73"
"310M400US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","213466","14716","112181","9177","8729","1856","13650","2627","12164","2543","5216","1407","3094","847","8250","1880","7761","1372","9905","1999","19334","3137","12308","1960","7314","1448","3809","1292","491","568","156","208","101285","7413","7754","1788","12743","2513","12431","1830","4088","1257","3701","1072","6522","1510","6680","1185","8536","1617","17198","2588","10961","1907","7242","1680","2543","1116","307","303","579","494"
"310M400US45220","Tallahassee, FL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43580","Sioux City, IA-NE-SD Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19820","Detroit-Warren-Dearborn, MI Metro Area","51046","6070","25383","3337","2357","961","2539","850","3496","1004","1570","544","310","240","1625","668","1964","677","1699","646","4407","944","2139","606","2057","695","885","503","221","189","114","140","25663","3470","2231","816","2166","925","1722","693","1635","606","1093","602","1734","598","1973","669","2269","602","4319","1026","3139","834","2007","622","1055","503","281","211","39","63"
"310M400US25860","Hickory-Lenoir-Morganton, NC Metro Area","13405","2879","7541","1905","1346","815","846","477","1073","541","302","201","57","90","107","159","301","320","595","424","1185","545","783","463","917","651","28","48","1","2","0","210","5864","1389","510","466","634","404","546","348","507","315","105","177","292","326","670","470","762","501","812","412","528","394","319","312","179","179","0","210","0","210"
"310M400US26140","Homosassa Springs, FL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US28180","Kapaa, HI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US43340","Shreveport-Bossier City, LA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US28700","Kingsport-Bristol-Bristol, TN-VA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US13180","Beaver Dam, WI Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22140","Farmington, NM Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US22840","Fort Payne, AL Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US31540","Madison, WI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US32020","Marion, OH Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US33460","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area","73389","6515","38497","3968","2351","999","3147","925","3798","1025","2031","800","1405","621","3057","886","3892","919","3706","1083","7002","1325","4572","991","2578","881","576","329","382","320","0","198","34892","3492","3413","927","3743","1056","3447","1015","1969","589","1456","645","2932","807","2498","739","2098","658","6264","1112","3882","898","2044","603","889","551","257","182","0","198"
"310M400US33980","Morehead City, NC Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US40420","Rockford, IL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US48900","Wilmington, NC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US46660","Valdosta, GA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US21340","El Paso, TX Metro Area","118185","12228","58060","7234","3712","1647","3479","1411","5050","1455","3068","975","1002","602","6557","1787","5098","1447","2991","1400","6496","1652","7883","1585","6035","1282","3887","1051","1897","689","905","677","60125","6438","3914","1355","2767","1039","4231","1434","2837","972","1802","929","4678","1514","3683","944","4534","1603","6252","1417","8918","1893","7589","1458","4557","1506","2790","976","1573","1055"
"310M400US13020","Bay City, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US19380","Dayton, OH Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US36740","Orlando-Kissimmee-Sanford, FL Metro Area","150211","13369","71679","8207","3620","1497","2827","1175","5279","1716","2930","1309","2046","1078","4177","1308","7970","2640","6290","2352","15070","2979","8083","1906","7800","1714","3933","1167","1204","714","450","612","78532","7743","4884","2058","5702","1678","6411","1969","916","633","2926","1151","6222","1817","7838","2607","6693","1652","10971","2353","7811","1703","10933","2120","3991","1290","2732","1327","502","546"
"310M400US44220","Springfield, OH Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US44980","Sunbury, PA Micro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US16580","Champaign-Urbana, IL Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24140","Goldsboro, NC Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US24340","Grand Rapids-Wyoming, MI Metro Area","30208","5154","16799","3059","1074","553","1164","637","1528","711","543","331","494","415","2335","1131","2057","773","1215","610","2430","951","2283","671","1152","406","433","373","91","118","0","172","13409","2950","828","486","1200","788","748","485","913","790","422","287","1504","812","1658","670","694","330","2181","652","1707","583","1107","489","370","303","77","134","0","172"
"310M400US26380","Houma-Thibodaux, LA Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US39580","Raleigh, NC Metro Area","57523","8001","28174","4719","2554","1134","1766","1186","3274","1358","1823","680","905","786","1579","1003","2623","919","2481","754","6094","1262","3568","1211","1156","614","287","337","64","104","0","210","29349","4468","2893","1120","2583","956","2891","1105","2048","929","1341","511","2336","809","1894","738","2211","682","6069","1099","2704","888","1026","463","428","347","448","658","477","478"
"310M400US41540","Salisbury, MD-DE Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US42100","Santa Cruz-Watsonville, CA Metro Area","41896","7180","21779","3628","1055","867","2059","966","1499","938","1241","564","1724","355","1329","825","2013","800","547","610","4396","742","2637","881","1839","533","1410","533","11","26","19","32","20117","4065","1540","894","1396","1116","1418","842","1081","412","346","189","3010","926","1906","733","1238","653","2857","779","2363","921","2124","721","609","447","229","330","0","211"
"310M400US49180","Winston-Salem, NC Metro Area","13336","3626","5874","1637","292","394","165","168","1035","578","459","365","40","48","431","338","308","301","403","281","1341","665","598","525","500","375","209","281","93","155","0","210","7462","2282","857","701","471","352","886","613","261","211","36","65","934","985","598","399","1276","732","804","454","608","516","599","442","132","155","0","210","0","210"
"310M400US30700","Lincoln, NE Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"310M400US29700","Laredo, TX Metro Area","5124","1653","2224","765","160","148","61","73","51","83","60","77","78","94","304","201","297","241","30","45","453","298","376","231","157","134","163","150","34","57","0","228","2900","1007","202","289","303","270","0","228","85","84","0","228","175","156","334","263","350","273","260","255","486","294","259","192","370","190","76","88","0","228"
"310M400US33220","Midland, MI Metro Area","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
